OCCURRED_ON_DATE,count,avg_temp,min_temp,max_temp
8/28/15,1,70.0,64.0,75.0
8/20/15,1,73.0,68.0,78.0
11/2/15,1,57.0,51.0,64.0
7/31/15,2,80.0,73.0,89.0
12/1/15,9,38.0,32.0,45.0
12/4/15,1,43.0,38.0,48.0
9/14/15,1,65.0,57.0,72.0
7/12/15,2,80.0,72.0,89.0
12/20/15,3,36.0,31.0,41.0
7/1/15,6,69.0,62.0,82.0
11/26/15,1,46.0,38.0,59.0
10/10/15,1,57.0,48.0,61.0
9/15/15,2,71.0,62.0,84.0
10/7/15,1,60.0,52.0,72.0
8/1/15,3,79.0,68.0,90.0
11/29/15,1,38.0,32.0,44.0
12/7/15,1,45.0,37.0,56.0
9/1/15,3,76.0,69.0,79.0
9/10/15,2,74.0,64.0,77.0
10/1/15,4,58.0,54.0,59.0
8/21/15,1,72.0,67.0,83.0
10/15/15,1,54.0,47.0,62.0
12/8/15,1,42.0,37.0,44.0
9/27/15,1,56.0,48.0,64.0
9/2/15,1,77.0,66.0,91.0
10/3/15,1,52.0,49.0,54.0
8/13/15,2,73.0,66.0,82.0
7/25/15,1,66.0,62.0,69.0
8/17/15,1,80.0,71.0,91.0
11/24/15,1,35.0,29.0,44.0
11/18/15,1,40.0,31.0,48.0
10/13/15,1,61.0,55.0,72.0
11/12/15,1,47.0,46.0,57.0
11/15/15,1,43.0,37.0,54.0
7/15/15,1,74.0,67.0,82.0
6/15/15,1,58.0,54.0,63.0
7/30/15,1,83.0,74.0,91.0
9/7/15,1,77.0,66.0,93.0
11/1/15,3,53.0,48.0,62.0
8/29/15,1,72.0,63.0,82.0
12/15/15,1,55.0,48.0,61.0
8/6/15,1,74.0,65.0,82.0
7/29/15,1,80.0,71.0,92.0
12/22/15,2,52.0,48.0,60.0
12/21/15,2,42.0,32.0,53.0
10/8/15,1,58.0,51.0,62.0
12/24/15,1,55.0,48.0,69.0
12/12/15,1,53.0,49.0,61.0
9/5/15,1,65.0,58.0,73.0
12/5/15,1,44.0,39.0,53.0
11/28/15,1,52.0,41.0,60.0
11/20/15,1,56.0,44.0,61.0
11/17/15,1,40.0,33.0,45.0
